Symbol,Date,Expiry,Strike Price,Put Price,Call Price,Close,Volatility
NIFTY,22-Jan-2014,29-Dec-2016,7400,990.8,2712.3,6338.95,
NIFTY,04-Feb-2014,24-Dec-2014,7400,437.85,1873.3,6000.9,1.08440192895112
NIFTY,29-Jan-2014,30-Jun-2016,7800,424.2,719.8,6120.25,-0.055663383397753
NIFTY,03-Mar-2014,27-Mar-2014,4100,0.5,1978.5,6221.45,0.450536929223907
NIFTY,08-Jan-2014,25-Sep-2014,3900,40,1629,6174.6,0.173406561483491
NIFTY,11-Mar-2014,29-Dec-2016,6800,775,2104.9,6511.9,-0.00910437204062
NIFTY,18-Mar-2014,29-May-2014,7500,900,1309.8,6516.65,0.197361826577615
NIFTY,26-Feb-2014,24-Dec-2014,4400,392.95,3575,6238.8,0.363778829026587
NIFTY,17-Feb-2014,26-Feb-2014,4550,1.5,1439,6073.3,0.742789333166728
NIFTY,06-Jan-2014,29-Dec-2016,7400,990.8,2561,6191.45,0.228356151072923
NIFTY,05-Mar-2014,24-Dec-2014,5300,665.2,1528.7,6328.65,0.384582421126035
NIFTY,06-Feb-2014,28-Dec-2017,6500,70.95,1731.2,6036.3,
NIFTY,03-Mar-2014,27-Dec-2018,8700,637.3,1654.3,6221.45,0.311032261673044
NIFTY,18-Mar-2014,29-Dec-2016,7200,607.1,2869.85,6516.65,0.210741512372669
NIFTY,05-Feb-2014,28-Jun-2018,7600,800.55,3119.6,6022.4,1.24491581480668
NIFTY,21-Jan-2014,29-Jun-2017,4500,43.2,1140.45,6313.8,0.142319319842268
NIFTY,31-Jan-2014,29-Jun-2017,8500,436.65,2794.25,6089.5,
NIFTY,10-Mar-2014,30-Jun-2016,4200,149.5,2200,6537.25,0.41433553819759
NIFTY,20-Jan-2014,24-Dec-2014,7400,437.85,3245.5,6303.95,
NIFTY,06-Feb-2014,26-Feb-2014,6450,420.9,1069.1,6036.3,0.105339966580481
NIFTY,20-Mar-2014,27-Mar-2014,6250,3.25,612.6,6483.1,0.193892623238863
NIFTY,28-Feb-2014,28-Dec-2017,4400,1.5,3122.55,6276.95,
NIFTY,13-Jan-2014,30-Jun-2016,8400,617.4,1883.5,6272.75,
NIFTY,18-Feb-2014,25-Jun-2015,5600,419.35,1260.9,6127.1,0.267786270292897
NIFTY,18-Feb-2014,30-Jun-2016,5800,477.4,1265.65,6127.1,
NIFTY,04-Mar-2014,28-Jun-2018,6600,431,1850.2,6297.95,0.089398595974673
NIFTY,22-Jan-2014,25-Sep-2014,7100,1101,1431.6,6338.95,0.469468558271279
NIFTY,12-Feb-2014,27-Mar-2014,5400,9.35,542.75,6084,0.605057789397117
NIFTY,10-Mar-2014,26-Jun-2014,3800,5.3,3328.65,6537.25,0.216674954861102
NIFTY,16-Jan-2014,30-Jun-2016,8600,1174.15,1840.6,6318.9,
NIFTY,09-Jan-2014,26-Jun-2014,5100,60,30.45,6168.35,
NIFTY,20-Jan-2014,25-Sep-2014,7500,1353.15,403.65,6303.95,
NIFTY,18-Feb-2014,27-Mar-2014,8000,1700,0.05,6127.1,0.160611861952648
NIFTY,12-Feb-2014,25-Sep-2014,7400,1288.15,135,6084,0.332765016998081
NIFTY,13-Mar-2014,28-Dec-2017,5800,26.9,2249.4,6493.1,0.421044098024744
NIFTY,24-Feb-2014,29-Dec-2016,3900,150.85,2323.55,6186.1,
NIFTY,09-Jan-2014,27-Mar-2014,8800,2400,2680,6168.35,
NIFTY,17-Feb-2014,27-Mar-2014,5200,2.45,1139.5,6073.3,
NIFTY,03-Mar-2014,29-May-2014,5850,22.65,254.75,6221.45,
NIFTY,20-Jan-2014,26-Jun-2014,3000,19.65,3416.75,6303.95,
NIFTY,17-Feb-2014,27-Dec-2018,8400,553.05,1466.5,6073.3,0.499237691217979
NIFTY,28-Jan-2014,30-Jun-2016,7800,424.2,2848.85,6126.25,
NIFTY,13-Feb-2014,30-Jun-2016,5800,477.4,2454.3,6001.1,1.08011140253365
NIFTY,11-Mar-2014,26-Jun-2014,6200,200,3060,6511.9,0.519952929844897
